age,gender,height,weight,activity,goal,calorie_target
63,male,169.1,92.8,moderate,maintain,2495.07
69,male,164.0,68.0,active,maintain,2322.2
53,female,151.1,48.8,sedentary,loss,800.0
41,male,189.3,70.5,sedentary,loss,1646.12
15,female,166.3,55.7,active,gain,2882.99
35,female,163.1,56.6,sedentary,loss,942.26
24,male,169.1,85.6,sedentary,maintain,1897.72
79,male,183.2,80.1,active,gain,2879.0
36,female,155.4,42.2,moderate,gain,1893.66
42,female,168.3,97.5,light,loss,1805.33
49,male,167.1,52.7,active,maintain,2335.59
40,male,169.2,61.1,light,maintain,2112.83
70,female,168.1,84.4,sedentary,loss,1220.14
28,male,182.8,86.4,moderate,maintain,3028.39
43,male,180.4,71.2,light,loss,1927.81
26,male,165.6,50.6,light,maintain,2109.34
16,male,171.0,57.4,active,gain,3419.92
28,female,163.3,53.1,sedentary,gain,2033.49
39,female,155.2,57.9,moderate,gain,2467.55
32,male,187.3,87.2,light,maintain,2521.84
27,male,153.4,54.9,sedentary,gain,2119.73
15,female,155.8,57.8,moderate,maintain,2284.94
38,female,157.9,48.1,moderate,maintain,1663.32
15,female,140.0,49.6,moderate,gain,2159.88
53,female,150.8,67.7,active,loss,1519.74
41,female,167.0,64.9,light,loss,1273.28
15,male,175.3,71.2,light,gain,2795.17
34,male,189.2,87.2,light,gain,3150.39
26,female,174.4,88.3,light,loss,1846.8
45,female,165.5,54.7,sedentary,gain,2057.35
64,male,177.8,96.5,light,maintain,2793.32
15,female,162.5,68.4,moderate,gain,2697.54
42,female,140.8,47.8,light,loss,852.94
37,male,162.4,77.7,active,gain,2859.72
52,male,175.9,57.8,light,gain,2233.71
43,male,180.5,85.9,light,maintain,2418.76
26,male,177.6,81.8,moderate,gain,3401.87
34,female,154.9,47.5,moderate,gain,2299.26
25,male,183.4,87.7,sedentary,maintain,2383.25
59,female,173.9,76.4,light,gain,2630.39
40,female,169.5,66.6,sedentary,gain,2393.07
74,female,169.9,80.5,moderate,loss,1544.04
38,female,157.5,53.2,active,loss,1425.25
27,male,184.7,86.0,light,loss,2186.84
15,female,163.2,62.3,sedentary,maintain,1798.73
15,female,166.1,58.6,sedentary,loss,1176.5
15,female,164.9,71.4,sedentary,loss,1294.52
44,male,173.9,69.8,sedentary,gain,2299.27
49,male,167.3,48.6,sedentary,gain,2043.57
15,male,174.3,48.6,light,gain,2693.49
56,male,183.9,93.2,light,gain,2843.44
31,male,171.0,54.1,light,maintain,1895.28
42,female,169.1,72.3,light,maintain,2018.39
69,male,181.6,80.0,moderate,loss,1855.39
56,female,159.6,56.9,active,maintain,1962.38
35,male,187.5,115.3,light,loss,2480.28
23,female,159.2,62.8,sedentary,loss,1116.59
15,male,188.6,97.4,sedentary,loss,1909.81
27,female,165.5,69.2,sedentary,maintain,1924.88
36,male,174.9,70.2,light,gain,2803.27
22,female,154.9,57.4,moderate,loss,1416.95
37,female,161.3,79.5,light,maintain,2050.09
41,female,160.4,74.3,sedentary,maintain,1867.7
35,female,151.9,75.7,moderate,maintain,2137.37
28,female,160.3,64.2,sedentary,gain,2337.75
43,female,155.6,48.5,sedentary,loss,800.0
47,male,180.3,71.6,moderate,loss,1879.9
20,male,186.8,65.1,sedentary,maintain,1757.69
65,female,152.2,63.6,moderate,maintain,1942.47
38,female,175.7,65.9,active,loss,1696.9
40,female,161.0,41.5,moderate,loss,1156.41
52,female,154.2,83.4,sedentary,gain,2414.25
44,female,168.1,60.5,light,loss,1337.93
57,female,158.4,53.7,light,maintain,1526.15
45,female,161.3,82.1,active,gain,3257.69
28,male,171.4,54.5,active,maintain,2435.37
46,female,155.5,70.4,sedentary,maintain,1597.08
19,female,167.8,60.1,active,maintain,2385.64
41,male,172.4,53.6,sedentary,maintain,1681.04
39,male,162.1,83.2,light,gain,2812.59
36,female,166.4,78.0,light,gain,2741.6
37,male,164.1,75.8,light,maintain,2447.61
15,male,164.6,69.5,moderate,gain,3006.61
30,male,185.7,92.1,light,loss,1998.21
41,female,152.4,42.9,moderate,loss,1012.39
42,female,143.5,50.4,active,gain,2587.2
21,male,180.6,64.7,moderate,loss,2314.05
62,female,159.6,45.2,light,gain,1704.16
24,female,160.3,66.4,moderate,maintain,2395.49
57,female,159.5,74.3,light,maintain,1690.32
47,male,177.1,69.9,moderate,gain,3078.57
28,male,168.2,65.2,sedentary,gain,2263.52
71,male,188.3,66.9,moderate,gain,3245.64
18,male,161.7,62.8,moderate,maintain,2312.86
56,female,165.6,75.2,moderate,maintain,1932.02
58,female,167.1,77.0,active,gain,2760.96
27,female,155.9,64.3,sedentary,gain,2469.55
65,male,165.8,58.3,light,loss,1310.03
35,male,184.2,71.5,light,gain,2627.73
45,female,154.1,65.5,light,gain,2072.46
44,male,169.5,79.5,light,maintain,1978.53
37,male,183.0,77.8,sedentary,maintain,2168.64
54,female,162.3,58.2,moderate,maintain,1647.33
54,male,158.8,73.8,active,loss,2185.09
15,male,190.7,81.4,sedentary,loss,1924.18
63,female,157.8,68.1,sedentary,gain,1915.52
15,male,171.4,68.7,sedentary,maintain,2200.71
58,female,164.0,51.9,light,loss,1068.29
60,female,167.0,87.2,moderate,maintain,2279.15
20,male,192.6,91.1,sedentary,loss,1820.38
32,female,148.7,46.0,moderate,gain,2218.71
20,male,182.4,59.0,sedentary,maintain,2018.83
36,male,181.7,60.1,active,maintain,2785.65
34,male,173.8,67.4,active,loss,2263.89
54,male,182.1,108.3,active,gain,3962.79
63,male,183.4,71.9,sedentary,gain,2416.2
65,male,162.6,80.6,light,gain,2810.41
29,male,190.7,85.2,sedentary,maintain,2081.02
36,male,161.0,48.4,moderate,gain,2360.62
15,male,164.8,59.4,sedentary,loss,1371.67
25,female,159.9,46.6,moderate,loss,1257.84
57,female,177.4,63.4,moderate,maintain,2039.74
69,male,172.2,59.4,light,loss,1225.29
17,male,174.7,48.8,moderate,loss,1703.45
29,male,187.9,108.8,light,maintain,3338.4
39,female,159.6,63.5,sedentary,maintain,1507.78
45,female,152.6,48.7,moderate,gain,1959.29
25,male,171.2,73.3,active,loss,2384.44
47,male,187.3,71.0,moderate,gain,3281.31
31,male,175.6,49.4,moderate,maintain,2422.56
39,female,177.4,117.5,active,maintain,2985.12
49,male,181.6,82.0,light,loss,1758.69
40,female,156.8,52.5,active,maintain,2004.94
32,female,162.4,42.2,sedentary,gain,1834.92
38,male,167.3,48.4,light,gain,2085.55
38,female,156.7,77.2,sedentary,loss,1060.95
33,male,210.0,135.6,light,maintain,3192.01
35,female,170.1,79.3,sedentary,maintain,1598.29
68,female,168.9,54.1,sedentary,loss,800.0
50,male,169.4,88.4,sedentary,gain,2748.88
34,male,189.1,93.1,light,maintain,2553.51
52,female,170.8,78.6,sedentary,maintain,1849.29
33,female,177.1,81.5,moderate,loss,1977.7
61,female,176.7,53.7,sedentary,loss,898.98
46,male,161.7,48.6,light,gain,1986.8
38,male,165.0,59.1,sedentary,loss,1325.05
48,male,166.0,74.1,sedentary,maintain,1866.86
15,male,166.5,49.3,active,gain,2686.28
19,female,164.6,62.9,moderate,loss,1716.92
18,female,157.5,57.5,moderate,maintain,1944.78
42,female,178.6,87.9,light,maintain,2242.98
71,female,177.2,84.9,sedentary,gain,2266.7
80,female,161.9,51.0,sedentary,gain,1794.41
51,male,192.6,113.2,moderate,gain,3437.96
49,male,188.4,66.6,moderate,maintain,2584.89
15,female,158.4,72.5,active,loss,2242.77
30,female,145.9,45.8,light,loss,1125.45
25,female,160.3,63.5,light,gain,2530.71
28,female,156.8,61.5,sedentary,maintain,1592.92
36,female,163.7,66.7,moderate,maintain,2130.29
31,female,162.7,71.6,sedentary,gain,2439.12
15,female,162.5,68.0,light,loss,1477.21
53,female,166.2,76.0,active,maintain,2500.26
20,male,164.1,70.2,moderate,gain,3496.75
44,female,165.3,50.0,sedentary,gain,1868.36
77,female,158.5,63.3,sedentary,maintain,1111.05
23,male,176.8,67.1,moderate,maintain,2426.52
15,male,183.6,64.1,light,loss,1901.16
34,female,152.2,52.6,moderate,maintain,1672.31
59,male,172.5,73.8,sedentary,maintain,1787.09
75,male,173.9,76.0,active,gain,2985.11
17,female,157.9,71.7,moderate,loss,1828.23
48,male,183.1,100.2,active,gain,3545.39
31,female,156.2,62.3,light,gain,2171.95
38,female,157.6,65.4,sedentary,maintain,1696.88
87,female,156.3,59.7,sedentary,maintain,1133.95
15,male,184.8,93.8,active,maintain,3666.97
44,male,170.6,76.2,sedentary,gain,2438.04
48,female,165.7,65.2,sedentary,gain,2040.58
59,female,177.8,106.5,sedentary,maintain,2170.9
41,male,174.3,65.5,moderate,gain,2516.28
45,female,170.9,89.2,active,maintain,2799.75
32,male,190.0,64.7,moderate,gain,3223.21
44,male,184.2,93.9,light,loss,2202.31
33,male,174.8,93.1,active,gain,3618.03
51,male,180.8,52.3,sedentary,gain,2183.4
33,male,163.4,65.8,active,gain,2584.49
46,male,168.0,76.8,light,gain,2564.13
39,female,157.2,62.1,light,loss,1229.66
60,female,179.9,83.2,sedentary,maintain,1979.44
39,male,167.7,69.2,sedentary,loss,1535.9
15,male,167.6,53.6,light,loss,1542.14
62,female,153.6,81.8,sedentary,loss,1134.36
23,female,166.5,60.2,light,loss,1365.21
28,female,163.1,69.1,sedentary,maintain,1499.96
29,female,170.7,61.4,sedentary,maintain,1720.26
64,female,167.4,44.8,active,loss,1407.85
15,female,151.0,45.2,active,maintain,1946.88
96,female,155.5,42.3,active,loss,800.0
59,female,172.9,86.5,moderate,loss,1816.95
44,male,173.2,63.8,moderate,gain,2808.6
39,female,171.5,63.8,moderate,maintain,2481.66
45,male,173.7,57.9,moderate,maintain,2396.84
49,female,154.3,58.1,light,loss,1076.18
51,female,159.6,52.9,sedentary,maintain,1062.4
50,female,154.3,67.7,sedentary,loss,966.72
41,female,157.5,62.9,moderate,loss,1618.79
36,female,163.6,57.4,moderate,maintain,1956.28
37,male,179.6,89.8,light,gain,3204.51
36,female,149.3,53.6,sedentary,loss,876.53
60,male,174.8,73.7,sedentary,loss,1295.61
50,male,169.7,50.2,moderate,loss,1724.67
15,female,156.8,58.2,light,maintain,1847.89
51,male,176.2,79.0,light,loss,1669.73
43,female,157.6,74.5,light,loss,1363.94
39,female,173.1,61.7,moderate,gain,2839.71
33,female,171.5,100.7,active,loss,2263.11
60,male,185.6,91.3,active,maintain,3126.21
57,female,158.0,42.9,sedentary,gain,1673.09
26,male,166.3,55.9,light,loss,1361.43
47,female,162.7,80.4,light,maintain,2064.18
22,female,160.8,76.5,light,maintain,2098.37
15,male,169.5,69.2,moderate,gain,3297.42
28,male,164.4,66.7,sedentary,gain,2560.52
55,male,174.6,57.2,moderate,maintain,2151.47
57,male,171.4,87.9,light,loss,1726.93
49,male,181.2,64.2,active,maintain,2383.05
53,male,181.0,91.1,sedentary,gain,2519.19
49,female,170.8,87.8,sedentary,loss,1348.12
28,male,163.7,64.9,moderate,gain,2687.36
47,female,165.2,77.4,moderate,gain,2795.9
54,female,156.2,78.8,light,loss,1249.03
53,female,152.2,58.4,active,gain,2116.25
61,female,158.6,58.4,light,loss,983.03
52,female,170.5,68.9,light,maintain,1858.29
46,male,171.6,60.9,active,maintain,2290.83
59,female,174.5,62.6,light,maintain,1625.86
39,female,166.4,72.0,light,maintain,1844.72
24,female,158.8,58.7,moderate,maintain,1942.78
37,male,185.4,87.6,moderate,maintain,2935.22
26,male,179.0,55.4,light,maintain,2223.57
27,male,166.6,65.5,light,gain,2565.02
37,male,191.7,105.3,light,gain,3104.11
25,female,164.1,51.1,sedentary,maintain,1514.39
34,male,175.2,73.9,active,maintain,2982.49
15,female,155.2,38.5,sedentary,loss,937.87
43,male,185.6,62.4,sedentary,loss,1500.98
40,male,179.7,89.2,moderate,maintain,2572.1
25,male,180.7,73.8,moderate,maintain,2681.21
51,male,170.4,93.5,moderate,maintain,2799.91
56,female,168.7,73.8,light,gain,2217.81
15,male,183.2,88.6,active,maintain,3299.23
26,female,156.6,47.0,light,maintain,1667.55
26,female,150.7,50.5,light,gain,2126.21
23,female,166.7,57.5,moderate,maintain,2078.1
54,female,149.4,42.9,sedentary,maintain,1066.76
36,female,163.2,71.9,active,gain,2616.98
35,female,158.4,70.0,light,maintain,1821.19
15,female,171.7,76.1,active,gain,3236.33
51,male,171.5,59.6,sedentary,gain,1974.97
17,female,170.9,74.4,active,maintain,2710.3
41,male,170.4,46.4,moderate,loss,1603.16
44,male,184.0,101.4,moderate,gain,3350.55
64,female,178.5,57.8,light,gain,2229.06
16,female,153.5,44.6,active,loss,1537.94
15,male,177.6,77.4,light,maintain,2440.8
43,male,199.7,99.4,light,maintain,2713.34
72,female,162.5,62.5,moderate,gain,2184.29
62,female,162.5,50.2,light,loss,882.52
43,male,182.1,96.5,light,maintain,2665.72
31,male,175.4,50.5,moderate,maintain,2115.75
54,female,148.3,38.1,sedentary,maintain,995.3
22,male,185.2,80.7,moderate,gain,3499.19
48,male,157.0,45.1,moderate,gain,2315.86
49,female,158.7,74.3,light,loss,1332.23
59,male,185.9,64.6,sedentary,loss,1162.85
89,female,159.1,78.5,moderate,loss,1271.37
47,female,156.5,70.1,moderate,maintain,2223.09
30,female,169.0,84.5,light,maintain,1913.72
39,male,167.3,91.0,light,maintain,2725.24
15,female,152.2,56.5,sedentary,loss,1054.91
27,male,177.5,61.2,moderate,loss,1893.48
32,female,160.5,60.7,moderate,loss,1476.42
30,female,152.1,49.6,sedentary,maintain,1479.61
42,male,180.7,68.0,moderate,maintain,2090.2
25,male,179.2,79.2,active,loss,2848.33
60,male,171.8,66.7,sedentary,loss,1257.17
40,female,159.7,52.6,moderate,gain,2464.98
39,male,179.2,73.6,moderate,gain,2704.71
34,female,171.5,77.9,active,loss,2087.84
42,male,172.5,84.2,sedentary,maintain,1722.2
54,female,167.2,47.0,light,loss,1073.14
24,female,166.5,62.8,active,loss,1763.08
28,female,169.0,66.8,sedentary,gain,2053.51
34,female,162.3,49.2,light,maintain,1397.53
15,male,166.8,65.3,light,maintain,2304.01
25,male,170.8,72.0,moderate,gain,3100.34
31,female,164.7,71.5,light,gain,2335.02
55,female,176.5,75.9,active,maintain,2505.69
44,male,170.6,58.3,sedentary,maintain,1627.93
43,male,182.2,109.8,moderate,loss,2316.28
55,male,172.0,82.1,light,gain,2666.28
37,male,176.0,82.0,sedentary,loss,1771.33
47,male,188.6,101.5,sedentary,loss,1982.99
38,male,181.9,83.0,active,loss,2656.12
44,female,152.1,68.9,light,loss,1251.17
29,male,169.8,70.0,moderate,maintain,2449.08
15,male,186.3,83.3,moderate,gain,3667.67
37,female,163.1,71.5,sedentary,gain,2251.77
65,male,164.7,84.3,moderate,gain,2888.96
56,male,167.6,86.6,sedentary,loss,1486.35
57,male,181.3,87.7,moderate,loss,1936.54
62,female,170.0,76.0,sedentary,loss,1084.21
41,male,175.2,83.2,moderate,loss,1995.34
43,female,181.8,94.0,moderate,maintain,2411.57
28,male,182.4,99.3,light,gain,3354.45
34,female,160.1,58.8,light,maintain,1575.19
51,male,167.7,84.1,sedentary,gain,2599.71
61,male,166.2,70.6,active,maintain,2672.15
37,male,178.0,85.3,sedentary,maintain,2133.97
31,female,158.1,75.5,light,gain,2358.16
40,male,190.1,98.8,sedentary,gain,3085.26
50,male,188.2,99.6,active,maintain,3453.06
15,female,167.1,62.1,light,loss,1587.57
15,female,152.6,71.6,sedentary,loss,1127.43
30,female,156.6,66.6,moderate,gain,2520.02
18,male,186.3,85.3,active,loss,2789.47
30,female,157.5,71.8,moderate,maintain,2188.55
37,male,185.1,122.1,light,maintain,3154.65
31,female,165.8,51.5,light,gain,2219.84
66,female,162.4,53.8,sedentary,loss,846.47
45,male,168.7,102.7,sedentary,loss,1687.55
45,male,174.2,78.6,light,gain,2571.27
51,male,176.7,77.6,moderate,maintain,2409.73
19,male,184.3,79.7,active,loss,2557.61
58,female,154.9,70.6,moderate,gain,2320.21
38,female,159.9,91.4,sedentary,gain,2330.13
52,female,162.4,55.4,moderate,maintain,1750.36
20,male,181.0,77.2,light,gain,3034.06
15,male,166.8,62.4,light,loss,1640.67
54,female,151.5,62.6,light,gain,2222.17
46,female,167.4,82.7,sedentary,gain,1969.08
23,male,161.3,81.5,sedentary,maintain,1735.13
24,female,172.3,81.5,light,maintain,2369.62
60,female,160.8,91.3,sedentary,gain,2393.45
18,female,149.6,47.9,light,maintain,1738.55
69,male,170.7,59.0,light,maintain,1890.81
23,female,165.0,83.4,active,maintain,2741.86
51,male,170.2,71.1,active,loss,2092.21
34,female,162.2,46.8,active,maintain,1762.48
50,male,181.7,74.5,active,maintain,2850.33
30,female,160.4,64.7,active,loss,1626.71
37,female,154.5,50.3,moderate,gain,2627.7
40,female,159.6,49.5,active,maintain,1811.03
21,male,187.7,81.3,moderate,maintain,2908.26
53,female,175.5,59.2,moderate,loss,1610.13
30,female,145.8,57.1,sedentary,maintain,1370.09
35,male,184.8,54.7,moderate,gain,2801.78
22,male,177.3,76.7,active,maintain,2499.87
15,female,169.4,75.6,light,maintain,1971.35
36,female,157.6,58.6,sedentary,gain,2053.59
83,female,147.9,63.2,light,maintain,1505.73
54,female,166.7,49.5,moderate,maintain,1607.54
39,female,154.5,49.7,moderate,loss,1232.36
35,male,162.5,59.5,light,maintain,2355.77
40,female,151.5,62.4,sedentary,gain,2029.02
49,male,180.4,81.3,active,maintain,3134.13
18,male,176.3,104.5,moderate,loss,2551.24
60,female,168.3,57.7,sedentary,loss,998.82
52,male,181.0,58.1,moderate,loss,1673.33
52,female,158.6,80.7,light,loss,1308.7
47,male,174.4,53.4,light,maintain,2114.79
40,male,170.4,78.6,active,loss,2251.65
52,female,160.3,50.4,active,maintain,1870.51
50,female,154.3,38.1,light,gain,1987.18
33,male,178.5,71.1,sedentary,loss,1404.15
29,female,170.6,81.6,sedentary,gain,2352.24
41,female,155.5,44.7,active,maintain,1738.61
67,male,186.5,92.5,active,gain,3456.45
17,male,176.0,85.0,light,loss,2077.09
15,male,177.2,57.4,light,gain,2969.86
42,female,148.4,50.6,light,gain,2186.41
40,female,147.5,67.7,active,gain,2664.43
43,female,163.2,71.7,light,gain,2250.1
44,male,182.1,75.7,light,loss,1896.0
35,female,156.6,63.5,moderate,loss,1480.77
66,male,190.0,75.5,sedentary,gain,2448.1
15,male,181.6,95.7,sedentary,loss,1787.27
25,male,166.8,80.7,light,loss,1666.1
38,male,175.3,75.4,moderate,loss,2077.27
15,male,197.3,97.5,moderate,maintain,3065.34
36,male,163.8,52.3,light,maintain,1816.88
69,male,179.8,57.9,sedentary,gain,2356.39
40,female,159.4,56.7,light,gain,2142.49
44,male,181.4,77.6,sedentary,maintain,2191.61
17,female,172.1,85.3,sedentary,maintain,2061.12
28,female,158.9,71.1,light,maintain,2008.06
33,female,171.0,72.6,active,loss,1954.28
34,female,179.8,94.9,moderate,gain,3457.2
63,female,162.5,52.2,moderate,maintain,1681.35
50,male,182.1,95.6,moderate,maintain,2813.11
19,female,157.3,50.6,active,loss,1661.66
44,female,162.2,77.8,moderate,maintain,2076.38
48,female,160.6,61.7,moderate,maintain,1852.17
60,male,182.2,53.1,light,loss,1384.65
68,female,171.6,80.4,sedentary,gain,2071.52
21,female,161.1,71.8,light,loss,1669.92
25,female,174.3,66.6,active,maintain,2461.48
17,female,174.2,67.8,light,gain,2969.0
35,male,182.6,77.6,sedentary,gain,2609.66
48,female,157.9,39.9,moderate,gain,1992.7
57,male,169.5,46.0,light,gain,2125.79
38,male,167.7,84.0,active,loss,2509.09
34,female,169.6,58.4,sedentary,gain,2204.99
42,female,152.3,75.0,moderate,loss,1285.76
24,male,181.1,98.9,moderate,loss,2610.37
77,female,153.4,73.0,active,loss,1266.41
15,female,168.6,59.9,light,gain,2616.11
43,female,162.1,44.1,active,maintain,1989.71
76,male,187.0,66.8,sedentary,loss,1258.01
40,male,185.3,75.5,sedentary,loss,1584.16
36,female,173.5,48.2,light,loss,1065.57
33,female,173.7,65.9,moderate,maintain,2115.2
36,male,176.3,71.8,light,loss,1685.74
64,male,164.6,49.2,sedentary,maintain,1401.5
15,male,165.5,52.9,light,gain,2709.96
67,male,156.2,56.1,light,maintain,1809.78
15,male,165.2,69.9,light,gain,2904.19
35,male,175.6,61.7,sedentary,loss,1322.41
32,male,170.0,73.1,active,loss,2205.0
50,female,160.6,63.5,light,gain,2201.08
15,male,179.4,78.0,sedentary,gain,2753.16
48,male,172.3,62.5,moderate,maintain,2238.33
76,female,153.0,42.1,light,gain,1574.59
15,female,161.6,82.6,light,maintain,2294.29
43,female,154.8,64.3,light,loss,1257.62
28,male,172.6,84.9,active,maintain,2808.82
47,male,187.1,82.7,active,loss,2478.17
40,female,159.8,59.4,sedentary,maintain,1559.23
28,female,176.2,81.3,sedentary,loss,1535.47
48,female,173.5,48.1,sedentary,loss,901.4
72,male,169.8,54.7,light,gain,2280.32
36,female,153.1,47.8,sedentary,loss,827.68
52,male,174.5,66.9,moderate,loss,1954.39
16,male,185.4,68.9,light,gain,2708.95
22,male,170.6,74.2,moderate,maintain,2689.36
48,male,183.2,81.8,light,maintain,2227.37
66,female,171.7,89.2,active,gain,3274.23
46,female,155.8,85.3,sedentary,maintain,1595.16
34,female,156.6,44.9,moderate,loss,1234.44
39,male,181.4,81.2,moderate,maintain,2552.77
17,female,163.2,65.7,moderate,gain,2861.0
50,male,168.8,68.2,light,gain,2630.51
55,male,171.8,56.4,sedentary,loss,1161.26
31,male,174.4,60.4,moderate,loss,2153.03
31,female,149.5,56.0,moderate,loss,1261.73
44,male,181.9,65.3,sedentary,maintain,2012.64
32,male,170.7,72.0,light,loss,1887.02
38,female,140.0,44.9,sedentary,gain,1775.36
77,female,161.8,64.5,moderate,gain,2115.76
35,female,156.1,48.0,moderate,maintain,1706.73
33,male,190.2,89.4,moderate,gain,3332.42
28,male,169.7,57.7,light,loss,1534.05
53,female,153.2,58.0,sedentary,gain,1726.41
36,male,179.6,96.8,moderate,maintain,2893.65
28,male,169.1,71.9,light,loss,1936.94
63,female,155.8,61.7,sedentary,loss,819.24
65,female,166.1,76.3,light,maintain,1822.01
29,female,153.7,41.8,sedentary,gain,1695.81
15,female,150.3,71.7,moderate,gain,2699.61
58,female,175.8,59.5,sedentary,maintain,1577.64
27,female,166.6,77.6,light,gain,2681.32
54,female,159.9,69.9,sedentary,loss,1122.68
15,female,162.0,52.3,moderate,gain,2301.24
56,male,179.6,92.0,light,maintain,2301.39
18,male,183.8,88.6,moderate,loss,2448.95
53,male,168.2,92.0,light,gain,3156.81
40,male,178.3,79.1,sedentary,maintain,2094.86
22,male,170.4,68.3,sedentary,gain,2226.7
32,male,173.3,65.1,active,maintain,2932.65
52,male,176.4,50.3,light,gain,2375.36
41,male,174.9,69.1,moderate,loss,2077.13
50,male,181.6,75.1,active,maintain,3144.19
75,male,179.4,81.0,sedentary,loss,1279.65
15,male,161.4,45.9,moderate,loss,1850.68
69,female,151.1,52.4,light,loss,818.83
41,male,171.7,78.4,sedentary,maintain,1930.43
23,female,176.6,84.4,sedentary,gain,2532.95
16,male,167.3,44.8,moderate,maintain,2015.66
36,female,160.3,69.9,light,maintain,1867.08
56,male,170.2,66.3,sedentary,gain,2203.67
37,female,157.6,57.5,sedentary,gain,1828.28
67,male,176.6,49.9,sedentary,loss,980.88
15,female,173.2,92.2,active,loss,2753.28
39,male,179.1,79.5,light,loss,1848.32
17,female,155.6,41.4,active,loss,1366.45
46,male,199.8,102.5,moderate,loss,2759.72
55,female,162.6,67.6,moderate,gain,2578.4
32,female,157.4,73.1,light,loss,1415.68
15,female,173.3,67.9,sedentary,maintain,1673.02
43,female,158.2,60.2,light,maintain,1373.29
47,female,175.3,64.9,light,maintain,1737.01
47,female,155.0,64.2,light,gain,2330.08
62,female,173.4,61.6,sedentary,gain,2107.77
20,female,163.6,53.5,active,maintain,2111.7
52,male,186.6,82.5,sedentary,maintain,2049.49
61,male,192.1,68.2,sedentary,maintain,1992.3
15,male,164.8,84.8,moderate,maintain,2774.83
45,female,172.2,96.9,sedentary,maintain,2121.53
30,female,150.7,49.9,sedentary,gain,1843.3
38,male,165.6,48.7,sedentary,maintain,1658.18
46,male,167.8,71.8,sedentary,gain,2296.95
31,female,166.0,60.2,sedentary,loss,1028.43
27,female,162.3,77.1,sedentary,maintain,1932.92
40,male,173.5,61.6,light,maintain,1851.98
20,female,163.2,70.4,light,gain,2406.24
20,male,180.3,79.7,light,loss,2001.67
52,female,167.3,58.7,moderate,maintain,1991.19
19,male,184.8,85.7,sedentary,maintain,2164.79
51,male,191.4,102.4,sedentary,maintain,2384.94
48,female,161.8,63.9,active,maintain,1945.72
15,male,170.3,70.9,moderate,maintain,2721.45
27,female,166.9,55.9,sedentary,gain,2331.59
61,female,152.8,68.1,active,maintain,1741.8
22,female,156.6,70.4,moderate,gain,2550.43
31,female,170.0,64.0,sedentary,gain,2290.74
48,female,161.0,60.8,active,loss,1920.45
54,male,164.1,81.8,light,maintain,2260.09
35,female,150.1,42.6,active,loss,1207.79
29,female,162.4,70.5,sedentary,maintain,1678.6
65,male,185.3,73.8,sedentary,maintain,1728.29
71,female,171.0,93.6,moderate,gain,2966.19
57,male,176.0,75.2,sedentary,loss,1488.23
41,female,178.1,94.1,sedentary,maintain,2224.76
25,male,174.1,62.3,moderate,loss,1920.86
25,female,160.9,47.6,sedentary,gain,1825.13
49,female,141.5,45.9,active,maintain,1786.04
47,female,158.4,63.2,light,gain,2397.22
65,female,168.8,61.8,active,maintain,1906.91
51,female,174.5,83.5,light,loss,1534.17
15,male,167.5,64.7,light,gain,2884.2
58,male,179.2,51.4,light,maintain,1821.21
22,female,170.4,76.9,moderate,maintain,2427.58
33,male,175.1,61.4,light,maintain,1910.18
44,female,143.7,46.2,sedentary,gain,1543.83
75,female,164.0,83.3,sedentary,loss,1079.6
95,female,168.1,90.4,sedentary,maintain,1504.34
50,male,166.5,59.3,light,gain,2215.97
36,female,160.0,68.1,moderate,loss,1541.52
49,male,164.6,58.3,sedentary,maintain,1544.88
55,female,141.4,45.4,light,maintain,1243.08
34,female,170.2,61.6,active,loss,1954.39
72,male,175.0,49.7,moderate,maintain,1874.96
44,female,174.8,74.6,active,gain,2924.48
48,male,182.7,84.5,active,maintain,3248.43
51,female,159.2,53.2,sedentary,loss,875.11
47,female,161.3,75.2,active,loss,1957.22
55,female,166.5,61.1,sedentary,gain,1613.46
28,male,183.7,71.3,active,loss,2400.08
29,female,164.6,71.4,light,loss,1416.67
20,male,185.0,58.3,light,gain,2601.53
47,female,159.6,71.5,moderate,gain,2729.05
54,female,154.0,52.6,active,gain,2236.7
48,male,174.4,86.6,moderate,loss,1956.09
70,female,163.6,79.8,light,loss,1323.21
39,female,152.4,62.4,sedentary,loss,964.26
52,male,163.0,54.0,moderate,maintain,1890.59
20,male,179.0,58.9,sedentary,maintain,2073.16
33,male,171.3,51.5,moderate,loss,1773.91
52,female,160.7,74.8,light,loss,1379.14
55,male,171.8,69.0,light,gain,2640.33
34,male,188.7,75.8,moderate,gain,3495.45
38,female,172.1,69.3,moderate,maintain,2173.65
15,male,163.9,77.5,active,loss,2267.01
33,male,170.2,79.7,sedentary,gain,2503.83
56,female,168.8,74.0,active,maintain,2065.07
50,male,180.4,87.5,active,maintain,2805.91
49,female,161.7,64.8,moderate,gain,2718.76
40,male,164.8,68.8,active,loss,1963.58
40,male,168.9,71.3,moderate,maintain,2237.82
28,female,157.9,59.8,sedentary,gain,2136.18
52,male,177.5,86.3,light,loss,1973.65
47,female,175.6,79.0,moderate,maintain,2043.04
48,male,168.8,57.1,active,gain,2950.24
30,male,165.8,72.5,light,loss,1655.78
15,female,161.1,65.2,moderate,maintain,2256.81
59,female,170.3,77.5,moderate,gain,2588.42
31,male,162.0,61.7,light,maintain,1840.15
24,male,188.1,97.8,sedentary,maintain,2364.05
